Sl No,Division,Subdivision,Traffic Police Station,Phone,Email
93,West,Kengeri Gate,Jagajeevanram Nagar,080 22942509,jjnagarbcp@ksp.gov.in
94,West,Kengeri Gate,Jnanabharathi,080 22942513,jbharathibcp@ksp.gov.in
95,West,Chickpet,Kalasipalya,080 22942504,klpalyabcp@ksp.gov.in
96,West,Vijayanagar,Kamakshipalya,080 22942517,kmpalyabcp@ksp.gov.in
97,West,Vijayanagar,Kempapura Agrahara,080 22942518,kpagaraharabcp@ksp.gov.in
98,West,Kengeri Gate,Kengeri,080 22942510,kengeribcp@ksp.gov.in
99,West,Vijayanagar,Magadi Road,080 22942515,mroadbcp@ksp.gov.in
100,West,Kengeri Gate,Rajarajeswarinagar,080 22942559,rrnagar@ksp.gov.in
101,West,Chickpet,Upparpet,080 22942503,upetbcp@ksp.gov.in
102,West,Vijayanagar,Vijayanagar,080 22942514,vjnagarbcp@ksp.gov.in
103,Whitefield,Marathahalli,Bellanduru,080 25747771,
104,Whitefield,Marathahalli,H.A.L.,080 22942542,halbcp@ksp.gov.in
105,Whitefield,Whitefield,K.R. Puram,080 22942553,krpurambcp@ksp.gov.in
106,Whitefield,Whitefield,Kadugodi,080 22943471,kadugodibcp@ksp.gov.in
107,Whitefield,Whitefield,Mahadevapura,080 22942546,mdpurabcp@ksp.gov.in
108,Whitefield,Marathahalli,Marathahalli,080 25639999,
109,Whitefield,Marathahalli,Varthur,080 28539196,varthurbcp@ksp.gov.in
110,Whitefield,Whitefield,Whitefield,080 22943472,whitefieldbcp@ksp.gov.in
