Sl No,Officer,Division,Subdivision,Traffic Police Station,Phone,Mobile,Email
17,Police Inspector Traffic,East,East,K.G halli Police Station,080 22942969,8123924993,kghallitrafficbcp@ksp.gov.in
18,Assistant Commissioner of Police (Traffic),East,South East,,080 22942115,9480801805,
19,Police Inspector Traffic,East,South East,Adugodi Police Station,"080 22943125 , 080 22943119",9480801822,adugoditrafficbcp@ksp.gov.in
20,Police Inspector Traffic,East,South East,Airport Police Station,"080 22942678 , 080 22943115",9480801817,airporttrafficbcp@ksp.gov.in
21,Police Inspector Traffic,East,South East,Madivala Police Station,"080 22943116 , 080 22943117",9480801824,madivalatrafficbcp@ksp.gov.in
22,Police Inspector Traffic,East,South East,Mico Layout Police Station,080 22943118,9480801825,micolyttrafficbcp@ksp.gov.in
23,Police Inspector Traffic,East,South East,Electronic City Police Station,080 22943718,9480801832,electroniccitytrafficbcp@ksp.gov.in
24,Police Inspector Traffic,East,South East,Whitefield Police Station,080 22943706,9480801831,whitefieldtrafficbcp@ksp.gov.in
25,Police Inspector Traffic,East,South East,Hulimavu Police Station,080 22942884,9980826817,hulimavutrfeastbcp@ksp.gov.in
26,Police Inspector Traffic,East,South East,HSR Layout Traffic Police Station,080 25747574,9900992998,hsrltrafficbcp@gmail.com
27,Deputy Commissioner of Police (Traffic),West,,,"080 22942318 , 080 22862771",9480801901,dcptrafficwest@gmail.com
28,Assistant Commissioner of Police (Traffic),West,West,,080 22942094,9480801905,
29,Police Inspector Traffic,West,West,Chickpet Police Station,080 22942664,9480801916,chickpettrafficbcp@ksp.gov.in
30,Police Inspector Traffic,West,West,Upparpet Police Station,"080 22942665 , 080 22942910",9480801915,upettrafficbcp@ksp.gov.in
31,Police Inspector Traffic,West,West,City Market Police Station,080 22942808,9480801917,citymarkettrafficbcp@ksp.gov.in
32,Police Inspector Traffic,West,West,Magadi Road Police Station,"080 22942672 , 22943010",9480801918,mroadtrafficbcp@ksp.gov.in
33,Police Inspector Traffic,West,West,Vijayanagar Police Station,080 22942809,9480801920,vjnagartrafficbcp@ksp.gov.in
34,Police Inspector Traffic,West,West,Byatarayanapura Police Station,"080 22942657 , 22943011",9480801919,bypuratrafficbcp@ksp.gov.in
35,Police Inspector Traffic,West,West,Kamakshipalya Police Station,080 22943009,9480801921,kmpalyatrafficbcp@ksp.gov.in
36,Police Inspector Traffic,West,West,Kengeri Police Station,080 22943013,,kengeritrfbcp@ksp.gov.in
37,Assistant Commissioner of Police (Traffic),West,North,,080 22942092,9480801907,
38,Police Inspector Traffic,West,North,Malleshwaram Police Station,"080 22942810 , 080 22943014",9480801922,mvmtrafficbcp@ksp.gov.in
39,Police Inspector Traffic,West,North,Rajajinagara Police Station,"080 22942807 , 080 22943016",9480801924,rnagartrafficbcp@ksp.gov.in
40,Police Inspector Traffic,West,North,Yeshwanthapura Police Station,080 22942661,9480801925,yspuratrafficbcp@ksp.gov.in
41,Police Inspector Traffic,West,North,Peenya Police Station,"080 22942674 , 080 22943020",9480801923,peenyatrafficbcp@ksp.gov.in
43,Police Inspector Traffic,West,North,Jalahalli Police Station,080 22943020,9880332116,jalahallitrfbcp@ksp.gov.in
44,Assistant Commissioner of Police (Traffic),West,South,,080 22942090,9480801906,
45,Police Inspector Traffic,West,South,V.V  Puram Police Station,"080 22942670 , 080 22943029",9480801926,cmpettrafficbcp@ksp.gov.in
46,Police Inspector Traffic,West,South,Jayanagara Police Station,"080 22942669 , 080 22943105",9480801927,jnagartrafficbcp@ksp.gov.in
47,Police Inspector Traffic,West,South,Basavanagudi Police Station,"080 22942668 , 080 22943102",9480801928,bguditrafficbcp@ksp.gov.in
48,Police Inspector Traffic,West,South,Banashankari Police Station,080 22942673,9480801930,bsktrafficbcp@ksp.gov.in
49,Police Inspector Traffic,West,South,Kumarswamy Layout Police Station,"080 22943109 , 080 22943110",9480801929,kslyttrafficbcp@ksp.gov.in
50,Deputy Commissioner of Police (Traffic),North,,,"080 22942318 , 080 22862771",9480801901,dcptrafficnorth@gmail.com
51,Assistant Commissioner of Police (Traffic),North,North East,,,9480801073,
42,Police Inspector Traffic,West,North East,R.T.Nagar Police Station,"080 22942813 , 080 22943027",9480801932,rtnagartrafficbcp@ksp.gov.in
52,Police Inspector Traffic,North,North East,Chikkajala Police Station,080 28467559,9480801934,chikkajalatrafficbcp@ksp.gov.in
53,Police Inspector Traffic,North,North East,Devanahalli Police Station,080 27681100,9480801974,bialtrafficbcp@ksp.gov.in
54,Police Inspector Traffic,North,North East,Hebbal Police Station,"080 22943023 , 080 22942663",9480801931,hebbaltrafficbcp@ksp.gov.in
55,Police Inspector Traffic,North,North East,Yellahanka Police Station,"080 22943025 , 080 22943024",9480801933,ylktrafficbcp@ksp.gov.in
56,Assistant Commissioner of Police Traffic (Planning),Traffic Admistration Division,,,080 22942113,9480801809,abletrafficplanningb@ksp.gov.in
57,Asst.Commissioner of Police Traffic Training Institute (TTI),Traffic Admistration Division,,,080 22942117,9480801808,ablettibcp@ksp.gov.in
58,Police Inspector Traffic Training Institute (TTI),Traffic Admistration Division,,,080 22942117,,pittibcp@ksp.gov.in
59,Police Inspector Traffic Administration,Traffic Admistration Division,,,080 22943030,,
